date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,station_id,station_name,region_name,flood,label_hujan
1/2/2016,25.6,33.2,27.0,88.0,1.6,8.7,4.0,290.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
1/3/2016,24.4,34.9,28.1,80.0,33.8,5.4,4.0,280.0,2.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
1/6/2016,25.0,33.6,28.9,80.0,3.8,3.6,4.0,190.0,2.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
1/12/2016,26.2,31.2,26.0,93.0,11.5,5.7,3.0,50.0,1.0,S ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
1/13/2016,24.8,33.3,26.3,92.0,36.3,0.9,3.0,270.0,1.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
1/14/2016,25.0,33.8,28.5,84.0,4.4,3.7,3.0,40.0,2.0,E ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
1/16/2016,25.4,33.6,28.6,82.0,0.6,3.9,2.0,60.0,1.0,NE,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
1/18/2016,25.4,34.0,28.5,81.0,4.5,6.8,4.0,280.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
1/19/2016,25.6,33.8,27.4,89.0,3.4,3.1,4.0,250.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
1/20/2016,25.6,33.4,27.8,87.0,0.9,4.6,4.0,260.0,2.0,W ,96733,Stasiun Klimatologi Banten,Jakarta Selatan,1,YES
1/21/2016,25.8,31.4,27.7,86.0,0.3,1.6,2.0,260.0,1.0,SW,96733,Stasiun Klimatologi Banten,Jakarta Selatan,0,YES
